frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43359,36,right,0,Thumb,Metacarpal,45.87,143.00,-25.78,45.87,143.00,-25.78
43359,36,right,0,Thumb,Proximal,45.87,143.00,-25.78,51.69,141.45,-72.96
43359,36,right,0,Thumb,Intermediate,51.69,141.45,-72.96,53.45,141.54,-99.29
43359,36,right,0,Thumb,Distal,53.45,141.54,-99.29,52.82,142.82,-116.53
43359,36,right,1,Index,Metacarpal,31.99,137.24,-25.67,13.77,158.89,-94.50
43359,36,right,1,Index,Proximal,13.77,158.89,-94.50,2.69,166.47,-124.92
43359,36,right,1,Index,Intermediate,2.69,166.47,-124.92,-2.66,172.58,-144.56
43359,36,right,1,Index,Distal,-2.66,172.58,-144.56,-6.26,177.86,-159.66
43359,36,right,2,Middle,Metacarpal,23.55,141.12,-24.42,-0.80,166.76,-85.50
43359,36,right,2,Middle,Proximal,-0.80,166.76,-85.50,-20.60,174.05,-117.33
43359,36,right,2,Middle,Intermediate,-20.60,174.05,-117.33,-33.29,179.53,-142.00
43359,36,right,2,Middle,Distal,-33.29,179.53,-142.00,-40.94,183.74,-158.98
43359,36,right,3,Ring,Metacarpal,15.50,149.09,-20.02,-12.74,176.82,-69.51
43359,36,right,3,Ring,Proximal,-12.74,176.82,-69.51,-38.83,183.84,-95.55
43359,36,right,3,Ring,Intermediate,-38.83,183.84,-95.55,-52.21,187.57,-110.91
43359,36,right,3,Ring,Distal,-52.21,187.57,-110.91,-60.17,190.37,-122.96
43359,36,right,4,Pinky,Metacarpal,15.09,157.77,-11.35,-17.46,185.16,-51.74
43359,36,right,4,Pinky,Proximal,-17.46,185.16,-51.74,-36.65,194.95,-63.47
43359,36,right,4,Pinky,Intermediate,-36.65,194.95,-63.47,-50.35,203.28,-73.21
43359,36,right,4,Pinky,Distal,-50.35,203.28,-73.21,-58.31,208.49,-79.98
43360,36,right,0,Thumb,Metacarpal,40.45,145.83,-32.65,40.45,145.83,-32.65
43360,36,right,0,Thumb,Proximal,40.45,145.83,-32.65,44.28,139.73,-80.15
43360,36,right,0,Thumb,Intermediate,44.28,139.73,-80.15,44.48,137.69,-106.78
43360,36,right,0,Thumb,Distal,44.48,137.69,-106.78,42.77,137.76,-124.13
43360,36,right,1,Index,Metacarpal,26.27,139.89,-32.99,8.13,160.02,-101.52
43360,36,right,1,Index,Proximal,8.13,160.02,-101.52,-4.71,165.48,-131.82
43360,36,right,1,Index,Intermediate,-4.71,165.48,-131.82,-11.51,169.22,-151.85
43360,36,right,1,Index,Distal,-11.51,169.22,-151.85,-16.41,172.74,-167.33
43360,36,right,2,Middle,Metacarpal,18.32,143.43,-31.87,-5.85,167.70,-92.79
43360,36,right,2,Middle,Proximal,-5.85,167.70,-92.79,-26.14,171.47,-123.33
43360,36,right,2,Middle,Intermediate,-26.14,171.47,-123.33,-39.95,174.93,-146.38
43360,36,right,2,Middle,Distal,-39.95,174.93,-146.38,-48.33,178.31,-163.07
43360,36,right,3,Ring,Metacarpal,10.90,151.34,-27.62,-17.09,177.92,-77.10
43360,36,right,3,Ring,Proximal,-17.09,177.92,-77.10,-42.50,181.72,-101.81
43360,36,right,3,Ring,Intermediate,-42.50,181.72,-101.81,-56.38,183.67,-116.41
43360,36,right,3,Ring,Distal,-56.38,183.67,-116.41,-64.97,185.57,-128.82
43360,36,right,4,Pinky,Metacarpal,11.40,160.07,-19.54,-20.83,186.50,-59.99
43360,36,right,4,Pinky,Proximal,-20.83,186.50,-59.99,-40.18,195.27,-71.20
43360,36,right,4,Pinky,Intermediate,-40.18,195.27,-71.20,-53.67,202.84,-80.77
43360,36,right,4,Pinky,Distal,-53.67,202.84,-80.77,-61.71,207.87,-87.92
43361,36,right,0,Thumb,Metacarpal,36.00,147.71,-40.22,36.00,147.71,-40.22
43361,36,right,0,Thumb,Proximal,36.00,147.71,-40.22,39.96,139.08,-86.86
43361,36,right,0,Thumb,Intermediate,39.96,139.08,-86.86,40.15,135.89,-113.02
43361,36,right,0,Thumb,Distal,40.15,135.89,-113.02,38.43,135.20,-130.45
43361,36,right,1,Index,Metacarpal,21.91,141.61,-40.64,3.44,159.49,-108.60
43361,36,right,1,Index,Proximal,3.44,159.49,-108.60,-10.61,162.88,-138.22
43361,36,right,1,Index,Intermediate,-10.61,162.88,-138.22,-18.56,165.15,-158.19
43361,36,right,1,Index,Distal,-18.56,165.15,-158.19,-24.43,167.76,-174.02
43361,36,right,2,Middle,Metacarpal,14.16,144.77,-39.49,-10.31,166.80,-100.02
43361,36,right,2,Middle,Proximal,-10.31,166.80,-100.02,-30.79,169.24,-129.73
43361,36,right,2,Middle,Intermediate,-30.79,169.24,-129.73,-44.79,171.94,-152.06
43361,36,right,2,Middle,Distal,-44.79,171.94,-152.06,-53.39,174.88,-168.39
43361,36,right,3,Ring,Metacarpal,6.87,152.58,-35.36,-21.36,177.10,-84.65
43361,36,right,3,Ring,Proximal,-21.36,177.10,-84.65,-46.40,178.98,-108.72
43361,36,right,3,Ring,Intermediate,-46.40,178.98,-108.72,-60.30,179.94,-123.10
43361,36,right,3,Ring,Distal,-60.30,179.94,-123.10,-69.08,181.17,-135.69
43361,36,right,4,Pinky,Metacarpal,7.27,161.45,-27.57,-25.11,185.96,-67.94
43361,36,right,4,Pinky,Proximal,-25.11,185.96,-67.94,-44.43,193.86,-78.68
43361,36,right,4,Pinky,Intermediate,-44.43,193.86,-78.68,-57.89,200.74,-87.81
43361,36,right,4,Pinky,Distal,-57.89,200.74,-87.81,-65.98,205.38,-94.94
43362,36,right,0,Thumb,Metacarpal,31.85,148.75,-47.48,31.85,148.75,-47.48
43362,36,right,0,Thumb,Proximal,31.85,148.75,-47.48,36.19,138.38,-93.03
43362,36,right,0,Thumb,Intermediate,36.19,138.38,-93.03,36.59,134.14,-118.34
43362,36,right,0,Thumb,Distal,36.59,134.14,-118.34,35.17,132.63,-135.29
